2026-04-17 11:29:02,722 - ALERT - IP: 192.168.1.16 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 15:34:57,680 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,682 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,686 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,689 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,692 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,693 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,698 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,701 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,712 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,715 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,719 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,725 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,730 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,741 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,745 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,750 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,764 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,774 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,799 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,812 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,816 - ALERT - [Low] [Conf: 0.98] IP: 172.16.0.10 | Attack: Port Scan | MITRE: T1046 | Action: Close source ports
2026-04-17 15:34:57,821 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,824 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,828 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,834 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,840 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,846 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,848 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,852 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,854 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,866 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,868 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,872 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,878 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,883 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,887 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,896 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,898 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,902 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,905 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,913 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,916 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,923 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,925 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,930 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,936 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,941 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,943 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,948 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,952 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,960 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,969 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,974 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,982 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,990 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,992 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:57,998 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,005 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,013 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,026 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,035 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,040 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,049 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,053 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,078 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,082 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,089 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,114 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,124 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,150 - ALERT - [Low] [Conf: 0.98] IP: 172.16.0.10 | Attack: Port Scan | MITRE: T1046 | Action: Close source ports
2026-04-17 15:34:58,155 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,158 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,162 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,165 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,169 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,179 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,181 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,185 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,190 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,194 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,199 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,206 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,208 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,213 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,216 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,221 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,227 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,232 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,237 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,238 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,245 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,251 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,255 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,261 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,266 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,268 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,270 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,273 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,300 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,301 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,306 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,310 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,315 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,319 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,326 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,329 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,333 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,338 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,345 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,348 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,352 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,357 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,361 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,366 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,372 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,375 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,380 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,386 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,396 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,402 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,406 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,410 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,415 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,444 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,446 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,471 - ALERT - [Low] [Conf: 0.98] IP: 172.16.0.10 | Attack: Port Scan | MITRE: T1046 | Action: Close source ports
2026-04-17 15:34:58,478 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,480 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,483 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,490 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,499 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,503 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,506 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,512 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,517 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,523 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,530 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,532 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,536 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,539 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,543 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,549 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,555 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,562 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,566 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,572 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,577 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,580 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,585 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,591 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,593 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,597 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,602 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,609 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,614 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,617 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,624 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,628 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,631 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:34:58,636 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
